77 	 1001101 	 4d 	 'M' 
78 	 1001110 	 4e 	 'N' 
79 	 1001111 	 4f 	 'O' 
80 	 1010000 	 50 	 'P' 
81 	 1010001 	 51 	 'Q' 
82 	 1010010 	 52 	 'R' 
83 	 1010011 	 53 	 'S' 
84 	 1010100 	 54 	 'T' 
85 	 1010101 	 55 	 'U' 
86 	 1010110 	 56 	 'V' 
87 	 1010111 	 57 	 'W' 
88 	 1011000 	 58 	 'X' 
89 	 1011001 	 59 	 'Y' 
90 	 1011010 	 5a 	 'Z' 
91 	 1011011 	 5b 	 '[' 
92 	 1011100 	 5c 	 '\\' 
93 	 1011101 	 5d 	 ']' 
94 	 1011110 	 5e 	 '^' 
95 	 1011111 	 5f 	 '_' 
96 	 1100000 	 60 	 '`' 
97 	 1100001 	 61 	 'a' 
98 	 1100010 	 62 	 'b' 
99 	 1100011 	 63 	 'c' 
100 	 1100100 	 64 	 'd' 
101 	 1100101 	 65 	 'e' 
102 	 1100110 	 66 	 'f' 
103 	 1100111 	 67 	 'g' 
104 	 1101000 	 68 	 'h' 
105 	 1101001 	 69 	 'i' 
106 	 1101010 	 6a 	 'j' 
107 	 1101011 	 6b 	 'k' 
108 	 1101100 	 6c 	 'l' 
109 	 1101101 	 6d 	 'm' 
110 	 1101110 	 6e 	 'n' 
111 	 1101111 	 6f 	 'o' 
112 	 1110000 	 70 	 'p' 
113 	 1110001 	 71 	 'q' 
114 	 1110010 	 72 	 'r' 
115 	 1110011 	 73 	 's' 
116 	 1110100 	 74 	 't' 
117 	 1110101 	 75 	 'u' 
118 	 1110110 	 76 	 'v' 
119 	 1110111 	 77 	 'w' 
120 	 1111000 	 78 	 'x' 
121 	 1111001 	 79 	 'y' 
122 	 1111010 	 7a 	 'z' 
123 	 1111011 	 7b 	 '{' 
124 	 1111100 	 7c 	 '|' 
125 	 1111101 	 7d 	 '}' 
126 	 1111110 	 7e 	 '~' 
127 	 1111111 	 7f 	 '\u007f' 
128 	 10000000 	 80 	 '\u0080' 
129 	 10000001 	 81 	 '\u0081' 
130 	 10000010 	 82 	 '\u0082' 
131 	 10000011 	 83 	 '\u0083' 
132 	 10000100 	 84 	 '\u0084' 
133 	 10000101 	 85 	 '\u0085' 
134 	 10000110 	 86 	 '\u0086' 
135 	 10000111 	 87 	 '\u0087' 
136 	 10001000 	 88 	 '\u0088' 
137 	 10001001 	 89 	 '\u0089' 
138 	 10001010 	 8a 	 '\u008a' 
139 	 10001011 	 8b 	 '\u008b' 
140 	 10001100 	 8c 	 '\u008c' 
141 	 10001101 	 8d 	 '\u008d' 
142 	 10001110 	 8e 	 '\u008e' 
143 	 10001111 	 8f 	 '\u008f' 
144 	 10010000 	 90 	 '\u0090' 
145 	 10010001 	 91 	 '\u0091' 
146 	 10010010 	 92 	 '\u0092' 
147 	 10010011 	 93 	 '\u0093' 
148 	 10010100 	 94 	 '\u0094' 
149 	 10010101 	 95 	 '\u0095' 
150 	 10010110 	 96 	 '\u0096' 
151 	 10010111 	 97 	 '\u0097' 
152 	 10011000 	 98 	 '\u0098' 
153 	 10011001 	 99 	 '\u0099' 
154 	 10011010 	 9a 	 '\u009a' 
155 	 10011011 	 9b 	 '\u009b' 
156 	 10011100 	 9c 	 '\u009c' 
157 	 10011101 	 9d 	 '\u009d' 
158 	 10011110 	 9e 	 '\u009e' 
159 	 10011111 	 9f 	 '\u009f' 
160 	 10100000 	 a0 	 '\u00a0' 
161 	 10100001 	 a1 	 '¡' 
162 	 10100010 	 a2 	 '¢' 
163 	 10100011 	 a3 	 '£' 
164 	 10100100 	 a4 	 '¤' 
165 	 10100101 	 a5 	 '¥' 
166 	 10100110 	 a6 	 '¦' 
167 	 10100111 	 a7 	 '§' 
168 	 10101000 	 a8 	 '¨' 
169 	 10101001 	 a9 	 '©' 
170 	 10101010 	 aa 	 'ª' 
171 	 10101011 	 ab 	 '«' 
172 	 10101100 	 ac 	 '¬' 
173 	 10101101 	 ad 	 '\u00ad' 
174 	 10101110 	 ae 	 '®' 
175 	 10101111 	 af 	 '¯' 
176 	 10110000 	 b0 	 '°' 
177 	 10110001 	 b1 	 '±' 
178 	 10110010 	 b2 	 '²' 
179 	 10110011 	 b3 	 '³' 
180 	 10110100 	 b4 	 '´' 
181 	 10110101 	 b5 	 'µ' 
182 	 10110110 	 b6 	 '¶' 
183 	 10110111 	 b7 	 '·' 
184 	 10111000 	 b8 	 '¸' 
185 	 10111001 	 b9 	 '¹' 
186 	 10111010 	 ba 	 'º' 
187 	 10111011 	 bb 	 '»' 
188 	 10111100 	 bc 	 '¼' 
189 	 10111101 	 bd 	 '½' 
190 	 10111110 	 be 	 '¾' 
191 	 10111111 	 bf 	 '¿' 
192 	 11000000 	 c0 	 'À' 
193 	 11000001 	 c1 	 'Á' 
194 	 11000010 	 c2 	 'Â' 
195 	 11000011 	 c3 	 'Ã' 
196 	 11000100 	 c4 	 'Ä' 
197 	 11000101 	 c5 	 'Å' 
198 	 11000110 	 c6 	 'Æ' 
199 	 11000111 	 c7 	 'Ç' 
